,Subtitle,Emotion,Analyzer_Output,New_Emotion
0,i didnt feel humiliated ,sadness,Neutral,Sadness
1,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake ,sadness,Negative,Despair
2,im grabbing a minute to post i feel greedy wrong ,anger,Negative,Resentment
3,i am ever feeling nostalgic about the fireplace i will know that it is still on the property ,love,Neutral,Love
4,i am feeling grouchy ,anger,Negative,Resentment
5,ive been feeling a little burdened lately wasnt sure why that was ,sadness,Neutral,Sadness
6,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny ,surprise,Positive,Excitement
7,i feel as confused about life as a teenager or as jaded as a year old man ,fear,Negative,Anxiety
8,i have been with petronas for years i feel that petronas has performed well and made a huge profit ,joy,Positive,Elation
9,i feel romantic too ,love,Positive,Passion
10,i feel like i have to make the suffering i m seeing mean something ,sadness,Neutral,Sadness
11,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter ,joy,Positive,Elation
12,i think it s the easiest time of year to feel dissatisfied ,anger,Neutral,Anger
13,i feel low energy i m just thirsty ,sadness,Neutral,Sadness
14,i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious ,joy,Positive,Elation
15,i do not feel reassured anxiety is on each side ,joy,Negative,Discontentment
16,i didnt really feel that embarrassed ,sadness,Neutral,Sadness
17,i feel pretty pathetic most of the time ,sadness,Neutral,Sadness
18,i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties ,sadness,Neutral,Sadness
19,i now feel compromised and skeptical of the value of every unit of work i put in ,fear,Neutral,Fear
20,i feel irritated and rejected without anyone doing anything or saying anything ,anger,Negative,Resentment
21,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for ,fear,Neutral,Fear
22,i have the feeling she was amused and delighted ,joy,Positive,Elation
23,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me ,joy,Positive,Elation
24,i already feel like i fucked up though because i dont usually eat at all in the morning ,anger,Positive,Determination
25,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed ,sadness,Neutral,Sadness
26,i feel so inhibited in someone elses kitchen like im painting on someone elses picture ,sadness,Positive,Hopefulness
27,i become overwhelmed and feel defeated ,sadness,Neutral,Sadness
28,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp ,anger,Neutral,Anger
29,i feel more superior dead chicken or grieving child ,joy,Negative,Discontentment
